,date,scheme_code,scheme_name,nav
0,2006-04-01,101206,SBI OVERNIGHT FUND - REGULAR PLAN - GROWTH,12.0955
1,2006-04-02,101206,SBI OVERNIGHT FUND - REGULAR PLAN - GROWTH,12.0974
2,2006-04-03,101206,SBI OVERNIGHT FUND - REGULAR PLAN - GROWTH,12.0992
3,2006-04-04,101206,SBI OVERNIGHT FUND - REGULAR PLAN - GROWTH,12.1007
4,2006-04-05,101206,SBI OVERNIGHT FUND - REGULAR PLAN - GROWTH,12.1027
5,2006-04-06,101206,SBI OVERNIGHT FUND - REGULAR PLAN - GROWTH,12.1047
6,2006-04-07,101206,SBI OVERNIGHT FUND - REGULAR PLAN - GROWTH,12.1066
7,2006-04-08,101206,SBI OVERNIGHT FUND - REGULAR PLAN - GROWTH,12.1086
8,2006-04-09,101206,SBI OVERNIGHT FUND - REGULAR PLAN - GROWTH,12.1105
9,2006-04-10,101206,SBI OVERNIGHT FUND - REGULAR PLAN - GROWTH,12.113
10,2006-04-11,101206,SBI OVERNIGHT FUND - REGULAR PLAN - GROWTH,12.1151
11,2006-04-12,101206,SBI OVERNIGHT FUND - REGULAR PLAN - GROWTH,12.117
12,2006-04-13,101206,SBI OVERNIGHT FUND - REGULAR PLAN - GROWTH,12.1187
13,2006-04-14,101206,SBI OVERNIGHT FUND - REGULAR PLAN - GROWTH,12.1208
14,2006-04-15,101206,SBI OVERNIGHT FUND - REGULAR PLAN - GROWTH,12.123
15,2006-04-16,101206,SBI OVERNIGHT FUND - REGULAR PLAN - GROWTH,12.125
16,2006-04-17,101206,SBI OVERNIGHT FUND - REGULAR PLAN - GROWTH,12.1271
17,2006-04-18,101206,SBI OVERNIGHT FUND - REGULAR PLAN - GROWTH,12.1291
18,2006-04-19,101206,SBI OVERNIGHT FUND - REGULAR PLAN - GROWTH,12.1313
19,2006-04-20,101206,SBI OVERNIGHT FUND - REGULAR PLAN - GROWTH,12.1333
20,2006-04-21,101206,SBI OVERNIGHT FUND - REGULAR PLAN - GROWTH,12.1355
21,2006-04-22,101206,SBI OVERNIGHT FUND - REGULAR PLAN - GROWTH,12.1375
22,2006-04-23,101206,SBI OVERNIGHT FUND - REGULAR PLAN - GROWTH,12.1396
23,2006-04-24,101206,SBI OVERNIGHT FUND - REGULAR PLAN - GROWTH,12.1416
24,2006-04-25,101206,SBI OVERNIGHT FUND - REGULAR PLAN - GROWTH,12.144
25,2006-04-26,101206,SBI OVERNIGHT FUND - REGULAR PLAN - GROWTH,12.1459
26,2006-04-27,101206,SBI OVERNIGHT FUND - REGULAR PLAN - GROWTH,12.1478
27,2006-04-28,101206,SBI OVERNIGHT FUND - REGULAR PLAN - GROWTH,12.1501
28,2006-04-29,101206,SBI OVERNIGHT FUND - REGULAR PLAN - GROWTH,12.152
29,2006-04-30,101206,SBI OVERNIGHT FUND - REGULAR PLAN - GROWTH,12.1539
30,2006-05-01,101206,SBI OVERNIGHT FUND - REGULAR PLAN - GROWTH,12.1558
31,2006-05-02,101206,SBI OVERNIGHT FUND - REGULAR PLAN - GROWTH,12.1578
32,2006-05-03,101206,SBI OVERNIGHT FUND - REGULAR PLAN - GROWTH,12.1597
33,2006-05-04,101206,SBI OVERNIGHT FUND - REGULAR PLAN - GROWTH,12.1617
34,2006-05-05,101206,SBI OVERNIGHT FUND - REGULAR PLAN - GROWTH,12.1637
35,2006-05-06,101206,SBI OVERNIGHT FUND - REGULAR PLAN - GROWTH,12.1657
36,2006-05-07,101206,SBI OVERNIGHT FUND - REGULAR PLAN - GROWTH,12.1676
37,2006-05-08,101206,SBI OVERNIGHT FUND - REGULAR PLAN - GROWTH,12.1697
38,2006-05-09,101206,SBI OVERNIGHT FUND - REGULAR PLAN - GROWTH,12.1719
39,2006-05-10,101206,SBI OVERNIGHT FUND - REGULAR PLAN - GROWTH,12.1739
40,2006-05-11,101206,SBI OVERNIGHT FUND - REGULAR PLAN - GROWTH,12.176
41,2006-05-12,101206,SBI OVERNIGHT FUND - REGULAR PLAN - GROWTH,12.1782
42,2006-05-13,101206,SBI OVERNIGHT FUND - REGULAR PLAN - GROWTH,12.1802
43,2006-05-14,101206,SBI OVERNIGHT FUND - REGULAR PLAN - GROWTH,12.1822
44,2006-05-15,101206,SBI OVERNIGHT FUND - REGULAR PLAN - GROWTH,12.1842
45,2006-05-16,101206,SBI OVERNIGHT FUND - REGULAR PLAN - GROWTH,12.1862
46,2006-05-17,101206,SBI OVERNIGHT FUND - REGULAR PLAN - GROWTH,12.1882
47,2006-05-18,101206,SBI OVERNIGHT FUND - REGULAR PLAN - GROWTH,12.1903
48,2006-05-19,101206,SBI OVERNIGHT FUND - REGULAR PLAN - GROWTH,12.1924
49,2006-05-20,101206,SBI OVERNIGHT FUND - REGULAR PLAN - GROWTH,12.1944
50,2006-05-21,101206,SBI OVERNIGHT FUND - REGULAR PLAN - GROWTH,12.1965
51,2006-05-22,101206,SBI OVERNIGHT FUND - REGULAR PLAN - GROWTH,12.1985
52,2006-05-23,101206,SBI OVERNIGHT FUND - REGULAR PLAN - GROWTH,12.2007
53,2006-05-24,101206,SBI OVERNIGHT FUND - REGULAR PLAN - GROWTH,12.2027
54,2006-05-25,101206,SBI OVERNIGHT FUND - REGULAR PLAN - GROWTH,12.2048
55,2006-05-26,101206,SBI OVERNIGHT FUND - REGULAR PLAN - GROWTH,12.2068
56,2006-05-27,101206,SBI OVERNIGHT FUND - REGULAR PLAN - GROWTH,12.209
57,2006-05-28,101206,SBI OVERNIGHT FUND - REGULAR PLAN - GROWTH,12.2111
58,2006-05-29,101206,SBI OVERNIGHT FUND - REGULAR PLAN - GROWTH,12.2137
59,2006-05-30,101206,SBI OVERNIGHT FUND - REGULAR PLAN - GROWTH,12.2158
60,2006-05-31,101206,SBI OVERNIGHT FUND - REGULAR PLAN - GROWTH,12.2178
61,2006-06-01,101206,SBI OVERNIGHT FUND - REGULAR PLAN - GROWTH,12.2199
62,2006-06-02,101206,SBI OVERNIGHT FUND - REGULAR PLAN - GROWTH,12.2219
63,2006-06-03,101206,SBI OVERNIGHT FUND - REGULAR PLAN - GROWTH,12.2239
64,2006-06-04,101206,SBI OVERNIGHT FUND - REGULAR PLAN - GROWTH,12.2259
65,2006-06-05,101206,SBI OVERNIGHT FUND - REGULAR PLAN - GROWTH,12.2278
66,2006-06-06,101206,SBI OVERNIGHT FUND - REGULAR PLAN - GROWTH,12.23
67,2006-06-07,101206,SBI OVERNIGHT FUND - REGULAR PLAN - GROWTH,12.232
68,2006-06-08,101206,SBI OVERNIGHT FUND - REGULAR PLAN - GROWTH,12.2341
69,2006-06-09,101206,SBI OVERNIGHT FUND - REGULAR PLAN - GROWTH,12.2361
70,2006-06-10,101206,SBI OVERNIGHT FUND - REGULAR PLAN - GROWTH,12.2382
71,2006-06-11,101206,SBI OVERNIGHT FUND - REGULAR PLAN - GROWTH,12.2403
72,2006-06-12,101206,SBI OVERNIGHT FUND - REGULAR PLAN - GROWTH,12.2425
73,2006-06-13,101206,SBI OVERNIGHT FUND - REGULAR PLAN - GROWTH,12.2447
74,2006-06-14,101206,SBI OVERNIGHT FUND - REGULAR PLAN - GROWTH,12.2465
75,2006-06-15,101206,SBI OVERNIGHT FUND - REGULAR PLAN - GROWTH,12.249
76,2006-06-16,101206,SBI OVERNIGHT FUND - REGULAR PLAN - GROWTH,12.2511
77,2006-06-17,101206,SBI OVERNIGHT FUND - REGULAR PLAN - GROWTH,12.2533
78,2006-06-18,101206,SBI OVERNIGHT FUND - REGULAR PLAN - GROWTH,12.2554
